id2,predict
10036,0.3152326
10037,0.3152326
10038,0.3152326
10039,0.3152326
1004,0.6236833
10040,0.6236833
10041,0.5103004
10042,0.5103004
10043,0.3152326
10044,0.3152326
10045,0.3152326
10048,0.37471893
10049,0.3499468
1005,0.6611148
10051,0.6528423
10052,0.37471893
10053,0.37471893
10054,0.3152326
10055,0.3152326
10056,0.3152326
10057,0.5103004
10058,0.3152326
10059,0.3152326
1006,0.6611148
10060,0.3152326
10061,0.3152326
10062,0.3499468
10063,0.3152326
10064,0.5103004
10067,0.3152326
10068,0.6611148
10069,0.3152326
1007,0.68810236
10070,0.6611148
10071,0.56228715
10072,0.6473949
10073,0.3152326
10074,0.3152326
10075,0.6236833
10076,0.3152326
10078,0.37471893
10079,0.5103004
1008,0.6611148
10080,0.3152326
10082,0.3152326
10083,0.5103004
10086,0.5103004
10087,0.5103004
10088,0.37471893
10089,0.3152326
1009,0.6611148
10090,0.3152326
10091,0.3152326
10092,0.5103004
10093,0.6611148
10094,0.56228715
10095,0.3499468
10098,0.3499468
10099,0.3152326
101,0.6611148
1010,0.6611148
10100,0.5103004
10101,0.6236833
10102,0.3152326
10103,0.37471893
10104,0.3152326
10105,0.5103004
10106,0.3152326
10107,0.3152326
10109,0.33444244
1011,0.5103004
10110,0.3152326
10111,0.54095906
10113,0.3152326
10114,0.5103004
10115,0.37471893
10116,0.6236833
10117,0.6236833
10120,0.3152326
10121,0.34236518
10122,0.6236833
10124,0.6236833
10125,0.34236518
10126,0.6611148
10128,0.37471893
10129,0.54095906
1013,0.6611148
10130,0.6236833
10131,0.3152326
10132,0.3152326
10133,0.3152326
10134,0.3152326
10135,0.5103004
10136,0.3152326
10137,0.3152326
10138,0.3152326
10139,0.3152326
1014,0.6611148
10140,0.33444244
10141,0.3499468
10142,0.3152326
10143,0.3499468
10144,0.6473949
10145,0.34236518
10146,0.3152326
10147,0.3499468
10148,0.3152326
10149,0.7203396
1015,0.6611148
10150,0.3152326
10151,0.6236833
10152,0.3499468
10153,0.3152326
10155,0.6236833
10157,0.3152326
10159,0.3152326
1016,0.68810236
10160,0.3152326
10161,0.3499468
10162,0.3152326
10163,0.3499468
10164,0.54095906
10165,0.37471893
10166,0.5103004
10167,0.3152326
10168,0.5103004
10169,0.37471893
1017,0.6611148
10170,0.3152326
10171,0.3152326
10172,0.3152326
10173,0.3152326
10174,0.3152326
10175,0.34236518
10176,0.3152326
10177,0.3152326
10178,0.3152326
10179,0.37471893
1018,0.6611148
10180,0.3152326
10181,0.3152326
10182,0.37471893
10184,0.6236833
10185,0.37471893
10186,0.3499468
10187,0.37471893
10188,0.6611148
10189,0.3152326
1019,0.6236833
10190,0.37471893
10191,0.3152326
10192,0.3152326
10193,0.65208304
10194,0.3152326
10195,0.5103004
10197,0.3152326
10198,0.3152326
10199,0.5103004
102,0.37471893
1020,0.6611148
10200,0.3499468
10201,0.3499468
10202,0.5103004
10203,0.3152326
10204,0.3499468
10205,0.6611148
10206,0.6236833
10208,0.3152326
1021,0.6611148
10210,0.3499468
10211,0.5103004
10212,0.3152326
10213,0.5103004
10214,0.5103004
10215,0.37471893
10216,0.3152326
10217,0.5103004
10218,0.6611148
10219,0.3152326
1022,0.6611148
10220,0.3152326
10221,0.3152326
10222,0.37471893
10223,0.6611148
10224,0.3152326
10225,0.3152326
10226,0.6236833
10227,0.58307654
10228,0.5103004
10229,0.3499468
1023,0.5103004
10230,0.3152326
10231,0.5103004
10232,0.5103004
10233,0.5103004
10235,0.3152326
10236,0.3152326
10238,0.3152326
10239,0.5103004
1024,0.6611148
10240,0.5103004
10241,0.3152326
10242,0.3152326
10243,0.3152326
10244,0.5103004
10245,0.5103004
10246,0.37471893
10247,0.6611148
10248,0.37471893
10249,0.37471893
1025,0.54095906
10251,0.3152326
10252,0.3152326
10253,0.5103004
10254,0.3499468
10255,0.3152326
10256,0.3152326
10257,0.37471893
10258,0.37471893
10259,0.3152326
1026,0.6236833
10260,0.5103004
10261,0.3152326
10262,0.54095906
10263,0.5103004
10265,0.3152326
10267,0.3152326
10268,0.5103004
10269,0.5103004
1027,0.6236833
10270,0.3499468
10271,0.3152326
10272,0.5103004
10273,0.3152326
10274,0.3152326
10275,0.3152326
10276,0.3152326
10277,0.6236833
1028,0.6611148
10280,0.3499468
10281,0.3152326
10282,0.5103004
10283,0.3152326
10284,0.5103004
10285,0.3152326
10286,0.37471893
10287,0.3152326
10288,0.3152326
10289,0.3152326
