datatype,total_count,count(non-NA count),count_na(NA count),na_ratio,min,max,mean,var(variance),std(standard deviation),sem(standard error),skew,kurtosis,q1(first quartile),"q2(second quartile, median)",q3(third quartile),moment_2,moment_3,moment_4,central_moment_2,central_moment_3,central_moment_4,sum,sum_2,sum_3,sum_4
float64,36619,36619,0,0.0,-2.1602525217343174,5.103756725484907,-9.003299636600849e-17,1.0000273089737284,1.0000136543936429,0.005225798860343484,0.685189615339408,0.3181829452778877,-0.7451857852630398,-0.1791590906745288,0.6698809512082377,0.9999999999999998,0.6851615480487169,3.3179756569832954,0.9999999999999996,0.6851615480487169,3.3179756569832954,-3.296918293926865e-12,36618.99999999999,25089.93072799596,121500.95058307129
float64,36619,36619,0,0.0,-1.754212844130405,1.3125295777162662,-3.7255032979038e-17,1.000027308973729,1.0000136543936433,0.005225798860343487,-0.15405301285601872,-0.6929568029326472,-0.2208416332070694,-0.2208416332070694,1.3125295777162662,1.0000000000000002,-0.15404670241202367,2.3069739656683037,1.0000000000000002,-0.15404670241202367,2.3069739656683037,-1.3642420526593924e-12,36619.00000000001,-5641.036195625895,84479.07964880762
float64,36619,36619,0,0.0,-0.1346392520600516,7.427254568778955,3.958347254022787e-17,1.0000273089737288,1.000013654393643,0.005225798860343485,7.292914054957458,51.189391193145795,-0.1346392520600516,-0.1346392520600516,-0.1346392520600516,1.0,7.292615316718902,54.182238157643184,1.0,7.292615316718902,54.182238157643184,1.4495071809506044e-12,36619.0,267048.2802829295,1984099.3790947357
float64,36619,36619,0,0.0,-2.205307298271536,1.7629086445514188,4.0359619060624494e-17,1.0000273089737288,1.000013654393643,0.005225798860343485,-0.4837135698583524,-0.17854654711950424,-0.6957527821550844,0.1492558047012532,0.3249841746778324,1.0,-0.48369375559223937,2.821313986004028,1.0,-0.48369375559223937,2.821313986004028,1.4779288903810084e-12,36619.0,-17712.381636032213,103313.69685348151
float64,36619,36619,0,0.0,-1.119835595819498,0.8929882241046269,-4.3464205142210996e-17,1.000027308973729,1.0000136543936433,0.005225798860343487,-0.22685666440086993,-1.9486424847465158,-1.119835595819498,0.8929882241046269,0.8929882241046269,1.0000000000000002,-0.2268473717148714,1.0514597300539454,1.0000000000000002,-0.2268473717148714,1.0514597300539454,-1.5916157281026244e-12,36619.00000000001,-8306.923904826876,38503.40385484543
float64,36619,36619,0,0.0,-0.4353250247951848,2.2971341940897783,2.2508249091502122e-17,1.0000273089737286,1.000013654393643,0.005225798860343485,1.8618854373503733,1.4666974846530199,-0.4353250247951848,-0.4353250247951848,-0.4353250247951848,0.9999999999999998,1.8618091692945928,4.466333382869423,0.9999999999999998,1.8618091692945928,4.466333382869423,8.242295734817162e-13,36618.99999999999,68177.5899703987,163552.6621472954
int64,36619,36619,0,0.0,1.0,45211.0,22592.404134465716,170357759.7003172,13052.11705817555,68.20680712508994,0.0031116816923173907,-1.2044243923096658,11269.5,22582.0,33911.5,680769832.1068025,23084518020322.504,8.349648393293688e+17,170353107.531779,6918348973.158251,5.210794705440962e+16,827311247.0,24929110481919.0,8.453319653861898e+17,-9.124222808278066e+18
float64,36619,36619,0,0.0,-0.3604194607175375,2.774544964939352,5.4330256427763744e-17,1.000027308973729,1.0000136543936433,0.005225798860343487,2.4142243976324034,3.828688548540226,-0.3604194607175375,-0.3604194607175375,-0.3604194607175375,1.0000000000000002,2.414125504221815,6.828001950134233,1.0000000000000002,2.414125504221815,6.828001950134233,1.9895196601282805e-12,36619.00000000001,88402.86183909864,250034.60341196548
float64,36619,36619,0,0.0,-0.5243529673785767,1.9071123121498648,2.4836688652691997e-17,1.0000273089737288,1.000013654393643,0.005225798860343485,1.382815988797205,-0.0878247407859396,-0.5243529673785767,-0.5243529673785767,-0.5243529673785767,1.0,1.3827593447712883,2.9120234055523224,1.0,1.3827593447712883,2.9120234055523224,9.094947017729282e-13,36619.0,50635.264446179805,106635.3850879205
float64,36619,36619,0,0.0,-0.1827930303457826,5.470668099917912,4.0359619060624494e-17,1.0000273089737288,1.000013654393643,0.005225798860343485,5.288091684656756,25.965331796755017,-0.1827930303457826,-0.1827930303457826,-0.1827930303457826,1.0,5.287875069572129,28.961622751402455,1.0,5.287875069572129,28.961622751402455,1.4779288903810084e-12,36619.0,193636.69717266178,1060545.6635336066
